PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31415884","Image processing and analysis methods for the Adolescent Brain Cognitive Development Study","Hagler DJ Jr, Hatton S, Cornejo MD, Makowski C, Fair DA, Dick AS, Sutherland MT, Casey BJ, Barch DM, Harms MP, Watts R, Bjork JM, Garavan HP, Hilmer L, Pung CJ, Sicat CS, Kuperman J, Bartsch H, Xue F, Heitzeg MM, Laird AR, Trinh TT, Gonzalez R, Tapert SF, Riedel MC, Squeglia LM, Hyde LW, Rosenberg MD, Earl EA, Howlett KD, Baker FC, Soules M, Diaz J, de Leon OR, Thompson WK, Neale MC, Herting M, Sowell ER, Alvarez RP, Hawes SW, Sanchez M, Bodurka J, Breslin FJ, Morris AS, Paulus MP, Simmons WK, Polimeni JR, van der Kouwe A, Nencka AS, Gray KM, Pierpaoli C, Matochik JA, Noronha A, Aklin WM, Conway K, Glantz M, Hoffman E, Little R, Lopez M, Pariyadath V, Weiss SR, Wolff-Hughes DL, DelCarmen-Wiggins R, Feldstein Ewing SW, Miranda-Dominguez O, Nagel BJ, Perrone AJ, Sturgeon DT, Goldstone A, Pfefferbaum A, Pohl KM, Prouty D, Uban K, Bookheimer SY, Dapretto M, Galvan A, Bagot K, Giedd J, Infante MA, Jacobus J, Patrick K, Shilling PD, Desikan R, Li Y, Sugrue L, Banich MT, Friedman N, Hewitt JK, Hopfer C, Sakai J, Tanabe J, Cottler LB, Nixon SJ, Chang L, Cloak C, Ernst T, Reeves G, Kennedy DN, Heeringa S, Peltier S, et al.","Neuroimage. 2019 Nov 15;202:116091. doi: 10.1016/j.neuroimage.2019.116091. Epub 2019 Aug 12.","Hagler DJ Jr","Neuroimage","2019","2019/08/16","PMC6981278","NIHMS1543097","10.1016/j.neuroimage.2019.116091"
"31686040","Simultaneous mesoscopic and two-photon imaging of neuronal activity in cortical circuits","Barson D, Hamodi AS, Shen X, Lur G, Constable RT, Cardin JA, Crair MC, Higley MJ.","Nat Methods. 2020 Jan;17(1):107-113. doi: 10.1038/s41592-019-0625-2. Epub 2019 Nov 4.","Barson D","Nat Methods","2020","2019/11/06","PMC6946863","NIHMS1540817","10.1038/s41592-019-0625-2"
"26457551","Functional connectome fingerprinting: identifying individuals using patterns of brain connectivity","Finn ES, Shen X, Scheinost D, Rosenberg MD, Huang J, Chun MM, Papademetris X, Constable RT.","Nat Neurosci. 2015 Nov;18(11):1664-71. doi: 10.1038/nn.4135. Epub 2015 Oct 12.","Finn ES","Nat Neurosci","2015","2015/10/13","PMC5008686","NIHMS723561","10.1038/nn.4135"
"28182017","Using connectome-based predictive modeling to predict individual behavior from brain connectivity","Shen X, Finn ES, Scheinost D, Rosenberg MD, Chun MM, Papademetris X, Constable RT.","Nat Protoc. 2017 Mar;12(3):506-518. doi: 10.1038/nprot.2016.178. Epub 2017 Feb 9.","Shen X","Nat Protoc","2017","2017/02/10","PMC5526681","NIHMS882652","10.1038/nprot.2016.178"
"31574322","Individualized functional networks reconfigure with cognitive state","Salehi M, Karbasi A, Barron DS, Scheinost D, Constable RT.","Neuroimage. 2020 Feb 1;206:116233. doi: 10.1016/j.neuroimage.2019.116233. Epub 2019 Sep 28.","Salehi M","Neuroimage","2020","2019/10/02","PMC7216521","NIHMS1544631","10.1016/j.neuroimage.2019.116233"
"33139894","Simultaneous cortex-wide fluorescence Ca(2+) imaging and whole-brain fMRI","Lake EMR, Ge X, Shen X, Herman P, Hyder F, Cardin JA, Higley MJ, Scheinost D, Papademetris X, Crair MC, Constable RT.","Nat Methods. 2020 Dec;17(12):1262-1271. doi: 10.1038/s41592-020-00984-6. Epub 2020 Nov 2.","Lake EMR","Nat Methods","2020","2020/11/03","PMC7704940","NIHMS1631388","10.1038/s41592-020-00984-6"
"32461583","Hippocampal seed connectome-based modeling predicts the feeling of stress","Goldfarb EV, Rosenberg MD, Seo D, Constable RT, Sinha R.","Nat Commun. 2020 May 27;11(1):2650. doi: 10.1038/s41467-020-16492-2.","Goldfarb EV","Nat Commun","2020","2020/05/29","PMC7253445","","10.1038/s41467-020-16492-2"
"32417645","Identification of a brain fingerprint for overweight and obesity","Farruggia MC, van Kooten MJ, Perszyk EE, Burke MV, Scheinost D, Constable RT, Small DM.","Physiol Behav. 2020 Aug 1;222:112940. doi: 10.1016/j.physbeh.2020.112940. Epub 2020 May 14.","Farruggia MC","Physiol Behav","2020","2020/05/18","PMC7321926","NIHMS1597514","10.1016/j.physbeh.2020.112940"
"32114151","Connectome-based neurofeedback: A pilot study to improve sustained attention","Scheinost D, Hsu TW, Avery EW, Hampson M, Constable RT, Chun MM, Rosenberg MD.","Neuroimage. 2020 May 15;212:116684. doi: 10.1016/j.neuroimage.2020.116684. Epub 2020 Feb 27.","Scheinost D","Neuroimage","2020","2020/03/02","PMC7165055","NIHMS1572715","10.1016/j.neuroimage.2020.116684"
"27673421","Does prenatal stress alter the developing connectome?","Scheinost D, Sinha R, Cross SN, Kwon SH, Sze G, Constable RT, Ment LR.","Pediatr Res. 2017 Jan;81(1-2):214-226. doi: 10.1038/pr.2016.197. Epub 2016 Sep 27.","Scheinost D","Pediatr Res","2017","2016/09/28","PMC5313513","","10.1038/pr.2016.197"
